x-Cordinates, y-Cordinates, time left, found_time
447.442,464.7509,5.154945,00:00:06.5175386
459.6389,471.114,6.153732,00:00:06.6186326
1654.906,1100.808,30.94351,00:00:21.0985786
1664.46,1090.029,31.75133,00:00:21.1778584
1664.211,1114.137,32.71202,00:00:21.2769496
1553.049,1309.64,49.94153,00:00:23.0005949
1550.053,1314.35,50.65074,00:00:23.0826706
565.8435,2441.488,34.74243,00:00:27.4768685
590.9323,2433.908,36.1459,00:00:27.6179989
763.519,2376.019,37.91507,00:00:27.7941608
1851.006,1936.232,40.90857,00:00:28.0954385
1505.635,1975.465,42.1131,00:00:28.2145466
2013.848,1493.478,42.51172,00:00:28.2555869
1502.965,1990.159,43.54807,00:00:28.3576796
572.0833,2460.646,45.31064,00:00:28.5348429
729.2733,2388.679,48.30768,00:00:28.8351185
1523.608,1961.69,48.51764,00:00:28.8561388
2314.978,1394.429,50.35434,00:00:29.0383062
2310.397,1414.979,51.34061,00:00:29.1373970
730.4362,2415.352,53.72073,00:00:29.3756155
2506.517,1178.805,0.5085449,00:00:30.0540326
1860.303,1967.206,3.518311,00:00:30.3563096
1585.959,2479.007,4.323151,00:00:30.4363851
1593.027,2476.366,4.507538,00:00:30.4544029
2440.233,93.10596,9.511627,00:00:30.9548622
749.1867,2113.106,40.15033,00:00:34.0177711
1596.026,2439.243,46.51947,00:00:34.6563596
2506.615,1169.868,57.74512,00:00:35.7775914
782.8105,2101.384,59.54471,00:00:35.9585574
815.9907,2054.298,7.541565,00:00:36.7586752
2364.906,133.221,27.10733,00:00:39.2864753
2364.613,148.6442,28.9552,00:00:39.4707997
1614.709,1647.066,46.51544,00:00:41.2284081
2195.435,698.1897,11.93491,00:00:43.7691132
2181.443,784.2544,15.34549,00:00:44.1107185
2274.279,225.4017,18.53946,00:00:44.4312365
1375.048,1856.923,25.54581,00:00:45.1296405
1380.464,1872.99,25.9317,00:00:45.1686758
705.9442,2336.468,28.32883,00:00:45.4079001
1198.297,2021.956,32.74316,00:00:45.8491333
1363.22,1886.419,34.72202,00:00:46.0474129
1294.735,1598.055,39.32568,00:00:46.5118186
1191.748,1998.233,48.74515,00:00:47.4505620
2196.427,794.5731,51.94,00:00:47.7702002
833.1996,2023.091,52.52542,00:00:47.8282520
1000.971,1998.199,2.711395,00:00:48.8462270
1021.884,1986.386,11.94232,00:00:49.7774514
1153.372,2010.177,13.52045,00:00:49.9292384
2115.251,694.5207,19.33243,00:00:50.5103989
2100.167,696.5992,21.55112,00:00:50.7319431
2098.784,700.1028,21.74374,00:00:50.7509608
2034.536,777.9934,6.512329,00:00:55.2270640
1671.461,1081.655,21.75549,00:00:56.7524429
1677.451,1064.948,24.50885,00:00:57.0266909
1963.22,108.4324,24.94092,00:00:57.0697310
1254.094,1601.442,33.32947,00:00:57.9094859
277.6006,1992.411,50.90613,00:00:59.6712174
258.769,1995.73,1.737854,00:01:00.7513011
236.3498,1955.478,20.52008,00:01:02.6284719
1883.712,152.312,32.34741,00:01:03.8103851
1477.901,804.0099,41.51093,00:01:04.7274383
1122.073,1069.479,6.950134,00:01:07.2735719
541.9866,1425.303,14.10022,00:01:07.9918329
567.7599,1427.383,16.31622,00:01:08.2096648
549.3183,1419.318,16.4845,00:01:08.2266980
1649.753,93.2598,21.34174,00:01:08.7108641
1625.468,84.86978,22.53448,00:01:08.8293374
1631.942,69.56139,24.11066,00:01:08.9884835
1602.12,74.93961,28.13141,00:01:09.3894189
1043.392,651.2545,34.72931,00:01:10.0545181
1004.288,649.1336,45.33783,00:01:11.1111080
1595.887,110.1224,50.50751,00:01:11.6274093
612.8654,1237.823,1.697754,00:01:12.7462088
708.0853,837.6692,9.901062,00:01:13.5693292
1651.534,56.96072,10.29266,00:01:13.6093668
614.2758,773.4316,30.14148,00:01:15.5904799
399.6028,1153.047,35.89703,00:01:16.1671391
430.6788,1158.276,48.34937,00:01:17.4130910
1622.804,317.0715,59.71027,00:01:18.5479448
606.7061,813.4243,4.499512,00:01:19.0265794
1602.741,323.9062,11.52673,00:01:19.7292301
597.3621,769.2656,14.90765,00:01:20.0672956
102.3474,1082.221,15.74231,00:01:20.1513718
444.8698,1124.367,28.35248,00:01:21.4125681
76.37098,627.7195,4.929382,00:01:25.0692952
381.0925,478.3241,9.331604,00:01:25.5098450
374.2372,467.3878,10.4856,00:01:25.6265220
46.65514,643.4752,17.10156,00:01:26.2871268
403.0263,471.3515,28.31622,00:01:27.4114815
504.3815,24.57045,0.725708,00:01:30.6520714
999.5739,1367.44,12.10107,00:01:37.7911957
-10.59274,280.8644,55.52698,00:01:42.1299040
6.28126,265.2357,59.15558,00:01:42.4921808
4.550758,251.9165,0.104248,00:01:42.5877313
