x-Cordinates, y-Cordinates, time left, found_time
38.71821,26.56752,3.995649,00:00:00
40.22118,30.63775,4.328102,00:00:00
43.59264,27.65049,4.588313,00:00:00
44.92358,25.25422,4.761346,00:00:00
46.97432,24.83702,16.99268,00:00:00.6000000
47.83902,24.26503,17.0725,00:00:00.6000000
47.66835,25.52266,17.16647,00:00:00.6000000
54.52057,16.41484,17.16647,00:00:00.6000000
45.37567,27.26165,21.08138,00:00:00.8000000
46.78355,26.41162,21.16556,00:00:00.8000000
150.3454,198.4134,26.24591,00:00:01
175.3051,21.37946,29.24531,00:00:01
185.2623,23.00417,30.26865,00:00:01.2000000
189.0836,19.21652,30.57368,00:00:01.2000000
192.4923,26.66741,31.15737,00:00:01.2000000
194.1853,26.22638,31.26637,00:00:01.2000000
195.0678,25.71718,31.32187,00:00:01.2000000
198.6897,17.80592,31.59676,00:00:01.2000000
196.0197,7.824705,31.59676,00:00:01.2000000
200.001,19.12506,31.76492,00:00:01.2000000
201.5101,8.004582,32.07568,00:00:01.2000000
202.7412,30.37512,32.34979,00:00:01.2000000
218.6414,161.4704,43.58313,00:00:01.6000000
237.8947,336.9084,43.99397,00:00:01.6000000
222.5025,170.0288,44.19407,00:00:01.6000000
220.1226,177.3558,44.32047,00:00:01.6000000
225.0126,169.1725,44.49206,00:00:01.6000000
221.3743,180.7243,44.67289,00:00:01.6000000
219.7761,343.0097,47.16525,00:00:01.8000000
231.4044,345.9367,47.24826,00:00:01.8000000
218.4584,343.1656,47.44627,00:00:01.8000000
243.7362,342.9176,47.44627,00:00:01.8000000
222.1159,164.7467,47.74246,00:00:01.8000000
222.172,162.4171,48.3211,00:00:01.8000000
223.0147,161.907,48.58764,00:00:01.8000000
219.3483,155.2224,49.66913,00:00:01.8000000
211.3036,151.4758,50.17076,00:00:02
393.9512,49.71711,52.08348,00:00:02
400.3865,54.1901,52.83098,00:00:02
403.399,46.16569,53.09494,00:00:02
404.6754,55.90062,53.33542,00:00:02
222.9942,349.2075,53.75864,00:00:02
217.3011,346.898,54.2393,00:00:02
402.0457,69.44614,56.00391,00:00:02.2000000
408.373,71.41983,56.32248,00:00:02.2000000
414.9886,71.4853,56.65918,00:00:02.2000000
398.5838,72.02219,57.99778,00:00:02.2000000
393.5166,65.42763,58.36791,00:00:02.2000000
451.1424,435.4126,4.781265,00:00:02.4000000
455.9077,435.572,5.172707,00:00:02.6000000
463.6939,423.3071,5.601906,00:00:02.6000000
465.0777,421.4926,5.752197,00:00:02.6000000
226.7974,147.5587,9.748077,00:00:02.6000000
473.3416,425.0328,10.32935,00:00:02.8000000
467.9372,418.3466,11.83495,00:00:02.8000000
464.5769,417.8955,12.00093,00:00:02.8000000
235.1115,354.7023,12.00093,00:00:02.8000000
466.8699,414.8707,12.48773,00:00:02.8000000
497.5105,411.0282,44.58263,00:00:04
251.554,163.8832,44.66661,00:00:04
138.5641,207.2278,46.67053,00:00:04.2000000
471.8995,410.9795,47.26799,00:00:04.2000000
149.6114,205.2584,47.32926,00:00:04.2000000
469.9718,405.8193,47.5798,00:00:04.2000000
135.7279,203.8718,47.5798,00:00:04.2000000
143.2162,199.2467,48.00471,00:00:04.2000000
143.2585,196.205,48.66335,00:00:04.2000000
135.3565,193.1887,49.75146,00:00:04.2000000
146.605,190.4985,50.26659,00:00:04.4000000
160.272,191.861,13.76657,00:00:05.2000000
146.7512,89.49057,24.49129,00:00:05.6000000
141.4534,80.47908,25.6674,00:00:05.8000000
59.71337,30.02744,32.15752,00:00:06
50.83147,24.92814,33.7424,00:00:06
74.61075,45.45729,38.74336,00:00:06.2000000
136.8425,59.54905,42.49841,00:00:06.4000000
140.1596,69.74715,43.69144,00:00:06.4000000
133.1876,72.03064,43.69144,00:00:06.4000000
132.8754,76.88034,44.19048,00:00:06.4000000
140.1461,76.57095,44.3354,00:00:06.4000000
137.1727,87.69144,45.33817,00:00:06.6000000
131.0466,91.20879,45.65897,00:00:06.6000000
135.5729,93.29974,45.82805,00:00:06.6000000
281.7422,58.59215,57.75006,00:00:07
270.4607,48.38346,58.75551,00:00:07
267.7086,43.87177,59.17488,00:00:07
270.1357,37.30704,59.2383,00:00:07
264.316,42.19888,59.66969,00:00:07
263.1299,37.03384,0.00440979,00:00:07.2000000
260.8088,45.55693,0.07139587,00:00:07.2000000
256.7891,43.24916,3.824585,00:00:07.2000000
257.7262,40.4915,3.824585,00:00:07.2000000
261.1552,53.09238,5.104507,00:00:07.4000000
260.6516,57.97325,5.829254,00:00:07.4000000
182.1573,22.62254,16.75038,00:00:07.8000000
177.8644,48.27073,17.66359,00:00:07.8000000
194.6179,39.34124,18.65569,00:00:07.8000000
193.7884,36.0693,19.00166,00:00:07.8000000
200.3165,26.59036,20.16762,00:00:08
